,Acc,Prec_Class1,Prec_Class0,Recall,TNR,F1,MCC,TP,FP,FN,TN
Fold-1,,,,,,,,,,,
Fold-2,0.546875,0.42424242424242425,0.6774193548387096,0.5833333333333334,0.525,0.4912280701754386,0.10494455393423795,14,19,10,21
Fold-3,0.46875,0.47058823529411764,0.46808510638297873,0.24242424242424243,0.7096774193548387,0.32,-0.05419820128296849,8,9,25,22
Fold-4,0.5625,0.4090909090909091,0.6428571428571429,0.375,0.675,0.3913043478260869,0.050964719143762556,9,13,15,27
Fold-5,0.453125,0.5882352941176471,0.40425531914893614,0.2631578947368421,0.7307692307692307,0.3636363636363636,-0.006753041030410036,10,7,28,19
Fold-6,0.4375,0.36363636363636365,0.4528301886792453,0.12121212121212122,0.7741935483870968,0.18181818181818182,-0.13855164404183676,4,7,29,24
Fold-7,0.49206349206349204,0.35714285714285715,0.6,0.4166666666666667,0.5384615384615384,0.3846153846153846,-0.04385290096535146,10,18,14,21
Fold-8,0.42857142857142855,0.3888888888888889,0.48148148148148145,0.5,0.37142857142857144,0.43750000000000006,-0.12909944487358058,14,22,14,13
Fold-9,0.42857142857142855,0.4444444444444444,0.42592592592592593,0.11428571428571428,0.8214285714285714,0.1818181818181818,-0.09128709291752768,4,5,31,23
Fold-10,0.5238095238095238,0.55,0.5116279069767442,0.34375,0.7096774193548387,0.42307692307692313,0.05738135611858177,11,9,21,22
mean,,,,,,,,,,,
var,,,,,,,,,,,
